Ma_HD,Date,Time,TC,Tran,San,Do_lech,KL_mo,Du_mua_gia_3,Du_mua_KL_3,Du_mua_gia_2,Du_mua_KL_2,Du_mua_gia_1,Du_mua_KL_1,Khop_lenh_gia,Khop_lenh_KL,Khop_lenh +/-,Du_ban_gia_1,Du_ban_KL_1,Du_ban_gia_2,Du_ban_KL_2,Du_ban_gia_3,Du_ban_KL_3,Tong_KL,Gia_mo_cưa,Gia_cao,Gia_thap,DTNN_mua,DTNN_Ban
VN30F2109,11/04/2021,14:52:00,1238.5,1325.1,1151.9,-6.26,249,1245,1,1245.2,1,1246.5,2,1247,1,8.5,1247.8,1,1249.8,3,1250,2,46,1239.3,1250,1238.6,1,
VN30F2109,11/04/2021,14:54:00,1238.5,1325.1,1151.9,-6.26,249,1245,1,1245.2,1,1246.5,2,1247,1,8.5,1247.8,1,1249.8,3,1250,2,46,1239.3,1250,1238.6,1,
VN30F2109,11/04/2021,14:54:00,1238.5,1325.1,1151.9,-6.26,249,1245,1,1245.2,1,1246.5,2,1247,1,8.5,1247.8,1,1249.8,3,1250,2,46,1239.3,1250,1238.6,1,
VN30F2109,11/04/2021,14:55:00,1238.5,1325.1,1151.9,-6.26,249,1245,1,1245.2,1,1246.5,2,1247,1,8.5,1247.8,1,1249.8,3,1250,2,46,1239.3,1250,1238.6,1,
VN30F2109,11/04/2021,14:59:00,1238.5,1325.1,1151.9,-6.26,249,1245,1,1245.2,1,1246.5,2,1247,1,8.5,1247.8,1,1249.8,3,1250,2,46,1239.3,1250,1238.6,1,
VN30F2109,11/04/2021,15:00:00,1238.5,1325.1,1151.9,-6.26,249,1245,1,1245.2,1,1246.5,2,1247,1,8.5,1247.8,1,1249.8,3,1250,2,46,1239.3,1250,1238.6,1,
