Ma_HD,Date,Time,TC,Tran,San,Do_lech,KL_mo,Du_mua_gia_3,Du_mua_KL_3,Du_mua_gia_2,Du_mua_KL_2,Du_mua_gia_1,Du_mua_KL_1,Khop_lenh_gia,Khop_lenh_KL,Khop_lenh +/-,Du_ban_gia_1,Du_ban_KL_1,Du_ban_gia_2,Du_ban_KL_2,Du_ban_gia_3,Du_ban_KL_3,Tong_KL,Gia_mo_cưa,Gia_cao,Gia_thap,DTNN_mua,DTNN_Ban
VN30F2104,11/04/2021,14:52:00,1243.2,1330.2,1156.2,-1.36,31696,1251.6,2,1251.7,24,1251.8,9,1251.9,1,8.7,1251.9,41,1252,41,1252.1,3,113707,1244.8,1253.9,1238.5,784,765
VN30F2104,11/04/2021,14:54:00,1243.2,1330.2,1156.2,-1.36,31696,1251.6,2,1251.7,24,1251.8,9,1251.9,1,8.7,1251.9,41,1252,41,1252.1,3,113707,1244.8,1253.9,1238.5,784,765
VN30F2104,11/04/2021,14:54:00,1243.2,1330.2,1156.2,-1.36,31696,1251.6,2,1251.7,24,1251.8,9,1251.9,1,8.7,1251.9,41,1252,41,1252.1,3,113707,1244.8,1253.9,1238.5,784,765
VN30F2104,11/04/2021,14:55:00,1243.2,1330.2,1156.2,-1.36,31696,1251.6,2,1251.7,24,1251.8,9,1251.9,1,8.7,1251.9,41,1252,41,1252.1,3,113707,1244.8,1253.9,1238.5,784,765
VN30F2104,11/04/2021,14:59:00,1243.2,1330.2,1156.2,-1.36,31696,1251.6,2,1251.7,24,1251.8,9,1251.9,1,8.7,1251.9,41,1252,41,1252.1,3,113707,1244.8,1253.9,1238.5,784,765
VN30F2104,11/04/2021,15:00:00,1243.2,1330.2,1156.2,-1.36,31696,1251.6,2,1251.7,24,1251.8,9,1251.9,1,8.7,1251.9,41,1252,41,1252.1,3,113707,1244.8,1253.9,1238.5,784,765
