Ma_HD,Date,Time,TC,Tran,San,Do_lech,KL_mo,Du_mua_gia_3,Du_mua_KL_3,Du_mua_gia_2,Du_mua_KL_2,Du_mua_gia_1,Du_mua_KL_1,Khop_lenh_gia,Khop_lenh_KL,Khop_lenh +/-,Du_ban_gia_1,Du_ban_KL_1,Du_ban_gia_2,Du_ban_KL_2,Du_ban_gia_3,Du_ban_KL_3,Tong_KL,Gia_mo_cưa,Gia_cao,Gia_thap,DTNN_mua,DTNN_Ban
VN30F2105,11/04/2021,14:52:00,1241.6,1328.5,1154.7,-4.06,763,1246.9,2,1248.2,1,1249.1,1,1249.2,1,7.6,1250.5,2,1250.7,2,1250.8,8,308,1241.8,1251.4,1238,,1
VN30F2105,11/04/2021,14:54:00,1241.6,1328.5,1154.7,-4.06,763,1246.9,2,1248.2,1,1249.1,1,1249.2,1,7.6,1250.5,2,1250.7,2,1250.8,8,308,1241.8,1251.4,1238,,1
VN30F2105,11/04/2021,14:54:00,1241.6,1328.5,1154.7,-4.06,763,1246.9,2,1248.2,1,1249.1,1,1249.2,1,7.6,1250.5,2,1250.7,2,1250.8,8,308,1241.8,1251.4,1238,,1
VN30F2105,11/04/2021,14:55:00,1241.6,1328.5,1154.7,-4.06,763,1246.9,2,1248.2,1,1249.1,1,1249.2,1,7.6,1250.5,2,1250.7,2,1250.8,8,308,1241.8,1251.4,1238,,1
VN30F2105,11/04/2021,14:59:00,1241.6,1328.5,1154.7,-4.06,763,1246.9,2,1248.2,1,1249.1,1,1249.2,1,7.6,1250.5,2,1250.7,2,1250.8,8,308,1241.8,1251.4,1238,,1
VN30F2105,11/04/2021,15:00:00,1241.6,1328.5,1154.7,-4.06,763,1246.9,2,1248.2,1,1249.1,1,1249.2,1,7.6,1250.5,2,1250.7,2,1250.8,8,308,1241.8,1251.4,1238,,1
